Type,Name,Flavor Profile,Image,Size,Strength
Sub-Ohm,7 Daze Fusion Pineapple Mango Orange,"SUB, 7daze, 7 daze, Pineapple, Mango, Orange, Fruit",7-daze-fusion-pineapple-mango-orange.png,,
Sub-Ohm,7 Daze Fusion Raspberry Green Apple Watermelon,"SUB, 7daze, 7 daze, Raspberry, Green Apple, Watermelon, Apple, Fruit",7-daze-fusion-raspberry-green-apple-watermelon.png,,
Sub-Ohm,7 Daze Fusion Strawberry Banana Apple,"SUB, 7daze, 7 daze, Strawberry, Banana, Apple, Red Apple, Fruit",7-daze-fusion-strawberry-banana-apple.png,,
Sub-Ohm,7 Daze Fusion Strawberry Blackberry Lemon,"SUB, 7daze, 7 daze, Strawberry, Blackberry, Lemon, Fruit",7-daze-fusion-strawberry-blackberry-lemon.png,,
Sub-Ohm,7 Daze Fusion Strawberry Mango Nectarine,"SUB, 7daze, 7 daze, Strawberry, Mango, Nectarine, Fruit",7-daze-fusion-strawberry-mango-nectarine.png,,
Sub-Ohm,7 Daze Fusion Watermelon Apple Pear,"SUB, 7daze, 7 daze, Watermelon, Apple, Pear, Red Apple, Fruit",7-daze-fusion-watermelon-apple-pear.png,,
Sub-Ohm,7 Daze Fusion Yellow Green Red Mango,"SUB, 7daze, 7 daze, Mango, Fruit",7-daze-fusion-yellow-green-red-mango.png,,
Sub-Ohm,7 Daze Iced Fusion Banana Cantaloupe Honeydew Iced,"SUB, 7daze, 7 daze, Banana, Cantaloupe, Honeydew, Fruit, Ice, Menthol",7-daze-iced-fusion-banana-cantaloupe-honeydew-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Grape Apple Aloe Iced,"SUB, 7daze, 7 daze, Grape, Apple, Aloe, Fruit, Ice, Menthol",7-daze-iced-fusion-grape-apple-aloe-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Grapefruit Orange Mango Iced,"SUB, 7daze, 7 daze, Grapefruit, Orange, Mango, Fruit, Ice, Menthol",7-daze-iced-fusion-grapefruit-orange-mango-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"SUB, 7daze, 7 daze, Kiwi, Passionfruit, Guava, Fruit, Ice, Menthol",7-daze-iced-fusion-kiwi-passionfruit-guava-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Lemon Passionfruit Blueberry Iced,"SUB, 7daze, 7 daze, Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol",7-daze-iced-fusion-lemon-passionfruit-blueberry-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Orange Cream Mango Iced,"SUB, 7daze, 7 daze, Orange, Cream, Mango, Fruit, Ice, Menthol",7-daze-iced-fusion-orange-cream-mango-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"SUB, 7daze, 7 daze, Orange, Yuzu, Tangerine, Fruit, Ice, Menthol",7-daze-iced-fusion-orange-yuzu-tangerine-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Pineapple Coconut Banana Iced,"SUB, 7daze, 7 daze, Pineapple, Coconut, Banana, Pina Colada, Fruit, Ice, Menthol",7-daze-iced-fusion-pineapple-coconut-banana-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Pineapple Mango Orange Iced,"SUB, 7daze, 7 daze, Pineapple, Mango, Orange, Fruit, Ice, Menthol",7-daze-iced-fusion-pineapple-mango-orange-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Raspberry Green Apple Watermelon Iced,"SUB, 7daze, 7 daze, Raspberry, Green Apple, Watermelon, Apple, Fruit, Ice, Menthol",7-daze-iced-fusion-raspberry-green-apple-watermelon-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Strawberry Banana Apple Iced,"SUB, 7daze, 7 daze, Strawberry, Banana, Apple, Red Apple, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-banana-apple-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Strawberry Blackberry Lemon Iced,"SUB, 7daze, 7 daze, Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-blackberry-lemon-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"SUB, 7daze, 7 daze, Strawberry, Mango, Nectarine, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-mango-nectarine-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Watermelon Apple Pear Iced,"SUB, 7daze, 7 daze, Watermelon, Apple, Pear, Red Apple, Fruit, Ice, Menthol",7-daze-iced-fusion-watermelon-apple-pear-iced.png,,
Sub-Ohm,7 Daze Iced Fusion Yellow Green Red Mango Iced,"SUB, 7daze, 7 daze, Mango, Fruit, Ice, Menthol",7-daze-iced-fusion-yellow-green-red-mango-iced.png,,
Sub-Ohm,"7daze Glacial Mint -  - A crisp, minty blast of menthol with every puff.","SUB, 7daze, 7 daze, Mint, Cool, Ice, Menthol",7daze-glacial-mint-a-crisp-minty-blast-of-menthol-with-every-puff.png,,
Sub-Ohm,7daze Reds Apple Berries,"SUB, 7daze, 7 daze, Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit",7daze-reds-apple-berries.png,,
Sub-Ohm,7daze Reds Apple Gold Kiwi,"SUB, 7daze, 7 daze, Apple, Kiwi, Fruit, Red Apple",7daze-reds-apple-gold-kiwi.png,,
Sub-Ohm,7daze Reds Apple Gold Kiwi Iced,"SUB, 7daze, 7 daze, Apple, Kiwi, Red Apple, Ice, Fruit, Menthol",7daze-reds-apple-gold-kiwi-iced.png,,
Sub-Ohm,7daze Reds Apple Grape,"SUB, 7daze, 7 daze, Apple, Grape, Red Apple, Fruit",7daze-reds-apple-grape.png,,
Sub-Ohm,7daze Reds Apple Original,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit",7daze-reds-apple-original.png,,
Sub-Ohm,7daze Reds Apple Strawberry,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit",7daze-reds-apple-strawberry.png,,
Sub-Ohm,7daze Reds Apple Strawberry 06mgAS6,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit",7daze-reds-apple-strawberry-06mgas6.jpg,,
Sub-Ohm,7daze Reds Apple Watermelon,"SUB, 7daze, 7 daze, Apple, Watermelon, Red Apple, Fruit",7daze-reds-apple-watermelon.png,,
Sub-Ohm,7daze Reds Iced Apple Berries Iced,"SUB, 7daze, 7 daze, Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit, Ice, Menthol",7daze-reds-iced-apple-berries-iced.png,,
Sub-Ohm,7daze Reds Iced Apple Grape Iced,"SUB, 7daze, 7 daze, Apple, Grape, Red Apple, Fruit, Ice, Menthol",7daze-reds-iced-apple-grape-iced.png,,
Sub-Ohm,7daze Reds Iced Apple Original Iced,"SUB, 7daze, 7 daze, Apple, Red Apple, Ice, Fruit, Menthol",7daze-reds-iced-apple-original-iced.png,,
Sub-Ohm,7daze Reds Iced Apple Strawberry Ice,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit, Ice, Menthol",7daze-reds-iced-apple-strawberry-ice.png,,
Sub-Ohm,7daze Reds Iced Apple Watermelon Iced,"SUB, 7daze, 7 daze, Apple, Watermelon, Red Apple, Fruit, Ice, Menthol",7daze-reds-iced-apple-watermelon-iced.png,,
Sub-Ohm,7Daze Reds Slapple - Apple and Blue Razz. A collaboration between Reds Apple and Keep It 100.,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy",7daze-reds-slapple-apple-and-blue-razz-a-collaboration-between-reds-apple-and-keep-it-100.jpg,,
Sub-Ohm,7Daze Reds Slapple Iced - Apple and Blue Razz Iced. A collaboration between Reds Apple and Keep It 100.,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy, Ice, Menthol",7daze-reds-slapple-iced-apple-and-blue-razz-iced-a-collaboration-between-reds-apple-and-keep-it-100.jpg,,
Sub-Ohm,Air Factory Menthol,"Menthol, Ice",air-factory-menthol.jpg,,
Sub-Ohm,Air Factory Mint,"Mint, Cool, Ice, Menthol",air-factory-mint.jpg,,
Sub-Ohm,Air Factory Unflavored,"Unflavored, Flavorless",air-factory-unflavored.jpg,,
Sub-Ohm,Alt Zero Excision Harambe,"SUB, Alt Zero, Banana, Strawberry, Blackberry, Blueberry, Fruit, Smoothie",alt-zero-excision-harambe.jpg,,
Sub-Ohm,"Alt Zero Excision Paradox - A pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","SUB, Alt Zero, Grape, Citrus, Blackberry, Fruit",alt-zero-excision-paradox-a-pitch-black-mountain-dew-with-a-twist-of-bold-citrus-grape-and-dark-fruits.jpg,,
Sub-Ohm,"Alt Zero Excision Paradox OTR - Iced pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","SUB, Alt Zero, Grape, Citrus, Blackberry, Ice, Fruit, Menthol",alt-zero-excision-paradox-otr-iced-pitch-black-mountain-dew-with-a-twist-of-bold-citrus-grape-and-dark-fruits.jpg,,
Sub-Ohm,Alt Zero Excision Virus - The electrifying original lemon lime citrus dew.,"SUB, Alt Zero, Lemon, Lime, Citrus, Mtn Dew, Mountain Dew, Fruit",alt-zero-excision-virus-the-electrifying-original-lemon-lime-citrus-dew.png,,
Sub-Ohm,Alt Zero Excision X Rated - Sweet blueberry tart yogurt.,"SUB, Alt Zero, Blueberry, Raspberry, Blackberry, Yogurt, Vanilla, Cream, Fruit, Dessert",alt-zero-excision-x-rated-sweet-blueberry-tart-yogurt.png,,
Sub-Ohm,Alt Zero Just Blues - A burst of blueberries and raspberries as these sour blue razz flavors explode.,"SUB, Alt Zero, Blue, Candy, Blueberry, Blue Razz, Blue Raspberry, Fruit",alt-zero-just-blues-a-burst-of-blueberries-and-raspberries-as-these-sour-blue-razz-flavors-explode.jpg,,
Sub-Ohm,"Alt Zero Just Reds - Strawberry, Watermelon, Cherry and Fruit Punch Candies.","SUB, Alt Zero, Red, Candy, Strawberry, Watermelon, Cherry, Fruit Punch, Fruit, Raspberry",alt-zero-just-reds-strawberry-watermelon-cherry-and-fruit-punch-candies.jpg,,
Sub-Ohm,Bad Drip Bad Blood - Blueberry and Pomegranate.,"SUB, Bad Drip, Blueberry, Pomegranate, Vanilla, Dessert, Fruit",bad-drip-bad-blood-blueberry-and-pomegranate.jpg,,
Sub-Ohm,Bad Drip Dont Care Bear - Peach and Pear gummies.,"SUB, Bad Drip,Peach, Pear, Gummy, Candy, Fruit",bad-drip-dont-care-bear-peach-and-pear-gummies.jpg,,
Sub-Ohm,Bad Drip Drooly - Grape Berry Gobstopper.,"SUB, Bad Drip,Grape, Candy, Fruit",bad-drip-drooly-grape-berry-gobstopper.png,,
Sub-Ohm,"Bad Drip God Nectar - Passion fruit, guava, mango, and orange.","SUB, Bad Drip,Passion Fruit, Orange, Mango, Guava, Fruit",bad-drip-god-nectar-passion-fruit-guava-mango-and-orange.jpg,,
Sub-Ohm,Barista Brew Salted Caramel Macchiato,"SUB, Barista, Salted Caramel, Macchiato, Coffee, Caramel, Cream, Dessert",barista-brew-salted-caramel-macchiato.jpg,,
Sub-Ohm,Beard Vape Co. #32 - A delicious cinnamon funnel cake,"SUB,Beard, Funnel Cake, Cinnamon, Vanilla, Dessert",beard-vape-co-32-a-delicious-cinnamon-funnel-cake.jpg,,
Sub-Ohm,Beard Vape Co. Apple Cinnamon The One,"SUB,Beard, Apple, Cinnamon, Donut, Milk, Cream, Dessert",beard-vape-co-apple-cinnamon-the-one.jpg,,
Sub-Ohm,Beard Vape Co. Blueberry The One,"SUB,Beard, Blueberry, Donut, Cereal, Milk, Cream, Dessert",beard-vape-co-blueberry-the-one.jpg,,
Sub-Ohm,Beard Vape Co. Marshmellow The One,"SUB,Beard, Marshmallow, Donut, Milk, Cinnamon, Dessert",beard-vape-co-marshmellow-the-one.jpg,,
Sub-Ohm,Beard Vape Co. Strawberry The One,"SUB,Beard, Strawberry, Donut, Milk, Cereal, Dessert",beard-vape-co-strawberry-the-one.jpg,,
Sub-Ohm,Brewed Awakening Classic -  - A frappacino with a caramel blast and bold coffee finish with hazelnut and cream.,"Coffee, Caramel, Hazelnut, Cream, Dessert",brewed-awakening-classic-a-frappacino-with-a-caramel-blast-and-bold-coffee-finish-with-hazelnut-and-cream.png,,
Sub-Ohm,Candy King Batch - Sour Patch Candy.,"SUB, Candy King, Sour Patch Kids, Candy, Orange, Cherry, Lemon, Lime, Fruit",candy-king-batch-sour-patch-candy.jpg,,
Sub-Ohm,"Candy King Gush - Blueberry, raspberry, strawberry, green apple, and even orange.","SUB, Candy King, Blueberry, Raspberry, Strawberry, Apple, Green Apple, Orange, Gummy, Candy, Fruit",candy-king-gush-blueberry-raspberry-strawberry-green-apple-and-even-orange.jpg,,
Sub-Ohm,Candy King Peachy Rings - Sour peach gummy ring.,"SUB, Candy King, Peach, Gummy, Candy, Fruit",candy-king-peachy-rings-sour-peach-gummy-ring.jpg,,
Sub-Ohm,"Candy King Pink Squares - Chewy goodness blasting with flavor. Every inhale is a rush of vibrant, sweet fruity flavor.","SUB, Candy King, Strawberry, Gummy, Candy, Fruit",candy-king-pink-squares-chewy-goodness-blasting-with-flavor-every-inhale-is-a-rush-of-vibrant-sweet-fruity-flavor.jpg,,
Sub-Ohm,Candy King Strawberry Watermelon Bubblegum,"SUB, Candy King, trawberry, Watermelon, Bubblegum, Candy, Fruit",candy-king-strawberry-watermelon-bubblegum.jpg,,
Sub-Ohm,Candy King Swedish,"SUB, Candy King, Strawberry, Raspberry, Candy, Fruit, Gummy",candy-king-swedish.jpg,,
Sub-Ohm,Candy King Worms - Gummy Worms,"SUB, Candy King, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Gummy, Candy, Fruit",candy-king-worms-gummy-worms.png,,
Sub-Ohm,Cassadega Cannoli Be Breakfast,"SUB, Cassadaga, Cannoli, Cream, Fruit Loops, Cereal, Dessert",cassadega-cannoli-be-breakfast.png,,
Sub-Ohm,Cassadega Cannoli Be Cookie,"SUB, Cassadaga, Cannoli, Cream, Oreo, Cookie, Dessert",cassadega-cannoli-be-cookie.png,,
Sub-Ohm,Cassadega Cannoli Be Graham,"SUB, Cassadaga, Cannoli, Graham, Cream, Dessert",cassadega-cannoli-be-graham.png,,
Sub-Ohm,Cassadega Cannoli Be Mine,"SUB, Cassadaga, Cannoli, Cream, Strawberry, Dessert",cassadega-cannoli-be-mine.png,,
Sub-Ohm,Cassadega Cannoli Be Nuts,"SUB, Cassadaga, Cannoli, Cream, Pistachio, Nuts, Dessert",cassadega-cannoli-be-nuts.png,,
Sub-Ohm,Cassadega Cannoli Be One,"SUB, Cassadaga, Cannoli, Cream, Vanilla, Dessert",cassadega-cannoli-be-one.png,,
Sub-Ohm,"Chubby Vapes Purp -  - Delicious, grape infused bubblegum.","Grape, Bubblegum, Candy, Fruit",chubby-vapes-purp-delicious-grape-infused-bubblegum.png,,
Sub-Ohm,Cloud Chemist Cereal Science - A nostalgic berry inhale with a sweet cereal milk exhale.,"SUB, Cloud, Chemist, Cereal, Milk, Berry, Strawberry, Blueberry, Raspberry, Dessert",cloud-chemist-cereal-science-a-nostalgic-berry-inhale-with-a-sweet-cereal-milk-exhale.jpg,,
Sub-Ohm,Cloud Chemist Claws - An apple bear claw with a gooey caramel apple filling.,"SUB, Cloud, Chemist, Caramel, Green Apple, Apple, Pastrey, Dessert",cloud-chemist-claws-an-apple-bear-claw-with-a-gooey-caramel-apple-filling.jpg,,
Sub-Ohm,Cloud Chemist Frosty Science - Sweet sugary flaky cereal with a delicious cream finish.,"SUB, Cloud, Chemist, Frosted Flakes, Cereal, Milk, Dessert",cloud-chemist-frosty-science-sweet-sugary-flaky-cereal-with-a-delicious-cream-finish.jpg,,
Sub-Ohm,Cloud Chemist Heisenberry Crunch - A blueberry cereal inhale with a sweet creamy exhale.,"SUB, Cloud, Chemist, Blueberry, Cereal, Milk, Dessert",cloud-chemist-heisenberry-crunch-a-blueberry-cereal-inhale-with-a-sweet-creamy-exhale.jpg,,
Sub-Ohm,Cloud Chemist Loopy Science - Frosted loopy cereal.,"SUB, Cloud, Chemist, Fruit Loops, Cereal, Milk, Dessert",cloud-chemist-loopy-science-frosted-loopy-cereal.jpg,,
Sub-Ohm,Cloud Chemist Pebble Science - Your favorite pebble cereal during the bedrock era.,"SUB, Cloud, Chemist, Fruity Pebbles, Cereal, Milk, Dessert",cloud-chemist-pebble-science-your-favorite-pebble-cereal-during-the-bedrock-era.jpg,,
Sub-Ohm,Cloud Chemist The Alchemist - A sweet sugar frosted cinnamon cereal inhale with a creamy exhale.,"SUB, Cloud, Chemist, Cinnamon, Sugar, Cinnamon Sugar, Cinnamon Toast Crunch, Cereal, Milk, Dessert",cloud-chemist-the-alchemist-a-sweet-sugar-frosted-cinnamon-cereal-inhale-with-a-creamy-exhale.jpg,,
Sub-Ohm,"Cloud Chemist The Final Experiment - Frosted corn cereal inhale, with a maple brown sugar drizzle and creamy finish.","SUB, Cloud, Chemist, Corn Pops, Maple, Cereal, Milk, Dessert",cloud-chemist-the-final-experiment-frosted-corn-cereal-inhale-with-a-maple-brown-sugar-drizzle-and-creamy-finish.jpg,,
Salt Nic,Cloud Chemist Graham's Law,"Graham Cracker, Cereal, Dessert",,30ml,
Sub-Ohm,Cloud Chemist Graham's Law,"SUB, Cloud, Chemist, Graham Cracker, Cereal, Dessert",cloud-chemist-grahams-law.jpg,,
Sub-Ohm,Cloud Nurdz Blue Raspberry Lemon,"SUB, Cloud, Nurdz, Blue Razz, Blue Raspberry, Lemon, Candy, Fruit",cloud-nurdz-blue-raspberry-lemon.jpg,,
Sub-Ohm,Cloud Nurdz Grape Apple,"SUB, Cloud, Nurdz, Grape, Apple, Green Apple, Candy, Fruit",cloud-nurdz-grape-apple.jpg,,
Sub-Ohm,Cloud Nurdz Grape Strawberry,"SUB, Cloud, Nurdz, Grape, Strawberry, Candy, Fruit",cloud-nurdz-grape-strawberry.jpg,,
Sub-Ohm,Cloud Nurdz Sour Watermelon Strawberry,"SUB, Cloud, Nurdz, Sour, Watermelon, Strawberry",cloud-nurdz-sour-watermelon-strawberry.jpg,,
Sub-Ohm,Cloud Nurdz Watermelon Apple,"SUB, Cloud, Nurdz, Watermelon, Apple, Green Apple, Fruit, Candy",cloud-nurdz-watermelon-apple.jpg,,
Sub-Ohm,Cloud Nurdz Watermelon Berry,"SUB, Cloud, Nurdz, Watermelon, Berry, Strawberry, Fruit, Candy",cloud-nurdz-watermelon-berry.jpg,,
Sub-Ohm,Country Clouds Blueberry Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert, Blueberry",country-clouds-blueberry-corn-bread-puddin.jpg,,
Sub-Ohm,Country Clouds Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert",country-clouds-corn-bread-puddin.jpg,,
Sub-Ohm,Cuttwood Bird Brains - A blend of fruity cereals with a hint of milk.,"SUB, Cuttwood, Fruit Loops, Cereal, Milk, Dessert",cuttwood-bird-brains-a-blend-of-fruity-cereals-with-a-hint-of-milk.png,,
Sub-Ohm,"Cuttwood Boss Reserve - Honey graham cracker cereal, toasted nuts, sliced banana and creamy milk.","SUB, Cuttwood, Graham, Milk, Banana, Dessert",cuttwood-boss-reserve-honey-graham-cracker-cereal-toasted-nuts-sliced-banana-and-creamy-milk.jpg,,
Sub-Ohm,"Cuttwood Mega Melons - Mango, cantaloupe, and papaya.","SUB, Cuttwood, Melons, Cantaloupe, Papaya, Pineapple, Fruit",cuttwood-mega-melons-mango-cantaloupe-and-papaya.jpg,,
Sub-Ohm,Cuttwood Sugar Drizzle - Sugary cinnamon paired with a smooth creamy body.,"SUB, Cuttwood, Cinnamon, Sugar, Cinnamon Sugar, Cereal, Milk, Dessert",cuttwood-sugar-drizzle-sugary-cinnamon-paired-with-a-smooth-creamy-body.jpg,,
Sub-Ohm,Cuttwood Tobacco Trail - Mild tobacco with a hint of honey.,"SUB, Cuttwood, Tobacco, Honey",cuttwood-tobacco-trail-mild-tobacco-with-a-hint-of-honey.png,,
Sub-Ohm,Cuttwood Unicorn Milk - A perfect blend of strawberry and four unique creams.,"SUB, Cuttwood, Milk, Strawberry, Dessert",cuttwood-unicorn-milk-a-perfect-blend-of-strawberry-and-four-unique-creams.jpg,,
Sub-Ohm,Dinner Lady Lemon Tart,"Lemon, Pastrey, Dessert, Custard",dinner-lady-lemon-tart.jpg,,
Sub-Ohm,Free Noms Caramel Butterscotch Classic,"Caramel, Butterscotch, Vanilla, Cream, Dessert",free-noms-caramel-butterscotch-classic.jpg,,
Sub-Ohm,Fruitia Apple Kiwi,"Apple, Kiwi, Fuit",fruitia-apple-kiwi.jpg,,
Sub-Ohm,Fruitia Banana Ice,"Banana, Fruit, Ice, Menthol",fruitia-banana-ice.jpg,,
Sub-Ohm,Fruitia Blood Orange Cactus,"Blood Orange, Orange, Cactus, Fruit, Tangerine",fruitia-blood-orange-cactus.jpg,,
Sub-Ohm,Fruitia Jus Apple Bourbon Tobacco,"Apple, Bourbon, Tobacco",fruitia-jus-apple-bourbon-tobacco.jpg,,
Sub-Ohm,Fruitia Jus Blue Raspberry Cotton Candy,"Blue Razz, Blue Raspberry, Cotton Candy, Candy, Fruit",fruitia-jus-blue-raspberry-cotton-candy.jpg,,
Sub-Ohm,Fruitia Jus Rainbow Ice,"Fruit, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Ice, Menthol",fruitia-jus-rainbow-ice.jpg,,
Sub-Ohm,Fruitia Jus White Grape Ice,"White Grape, Grape, Fruit, Ice, Menthol",fruitia-jus-white-grape-ice.jpg,,
Sub-Ohm,Fruitia Passion Fruit Guava,"Passionfruit, Guava, Papaya, Fruit, Tropical",fruitia-passion-fruit-guava.jpg,,
Sub-Ohm,Fruitia Pineapple Citrus,"Pineapple, Citrus, Mango, Fruit",fruitia-pineapple-citrus.jpg,,
Sub-Ohm,Fruitia Strawberry Coconut,"Strawberry, Coconut, Fruit",fruitia-strawberry-coconut.jpg,,
Sub-Ohm,Fruitia Sweet Peach,"Peach, Sweet, Strawberry, Fruit",fruitia-sweet-peach.jpg,,
Salt Nic,Fruitia Blue Razz Cotton Candy,"Blue Raspberry, Cotton Candy, Fruit, Candy",fruitia-blue-razz-cotton-candy.jpg,30ml,
Sub-Ohm,Fruitia Blue Razz Cotton Candy,"Blue Raspberry, Cotton Candy, Fruit, Candy",fruitia-blue-razz-cotton-candy.jpg,,
Sub-Ohm,Glas Basix Banana Cream Pie,"Banana, Cream, Vanilla, Pie Crust, Graham, Dessert",glas-basix-banana-cream-pie.jpg,,
Sub-Ohm,Glas Basix Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy, Blueberry, Raspberry",glas-basix-blue-razz.jpg,,
Sub-Ohm,Glas Basix Blueberry Cake,"Blueberry, Cake, Sweet, Dessert, Vanilla, Frosting",glas-basix-blueberry-cake.jpg,,
Sub-Ohm,Glas Basix Butterscotch Reserve,"Butterscotch, Sweet, Caramel, Tobacco, Dessert",glas-basix-butterscotch-reserve.jpg,,
Sub-Ohm,Glas Basix Caribbean Punch,"Pineapple, Apple, Peach, Strawberry, Fruit, Apricot",glas-basix-caribbean-punch.jpg,,
Sub-Ohm,Glas Basix Cool Melon,"Melon, Cantaloupe, Cucumber, Ice, Menthol",glas-basix-cool-melon.jpg,,
Sub-Ohm,Glas Basix Fizzy Lemonade,"Lemonade, Lemon, Lime, Pineapple, Ice, Menthol",glas-basix-fizzy-lemonade.jpg,,
Sub-Ohm,Glas Basix Strawberry Blast,"Strawberry, Gummy, Candy, Berry, Fruit",glas-basix-strawberry-blast.jpg,,
Sub-Ohm,Gost Vapor The Pancake House Banana Nuts,"Banana, Walnut, Pancake, Maple, Dessert",gost-vapor-the-pancake-house-banana-nuts.jpg,,
Sub-Ohm,Gost Vapor The Pancake House Blueberry,"Blueberry, Pancake, Maple, Dessert",gost-vapor-the-pancake-house-blueberry.jpg,,
Sub-Ohm,Gost Vapor The Pancake House Caramelized Apple,"Pancake, Caramel, Apple, Green Apple, Maple, Dessert",gost-vapor-the-pancake-house-caramelized-apple.jpg,,
Sub-Ohm,Gost Vapor The Pancake House Golden Maple,"Pancake, Maple, Butter, Dessert",gost-vapor-the-pancake-house-golden-maple.jpg,,
Sub-Ohm,Gost Vapor The Pancake House Strawberry,"Strawberry, Pancake, Maple, Dessert",gost-vapor-the-pancake-house-strawberry.jpg,,
Sub-Ohm,"Halo Fusion - an unflavored tobacco vape juice with a clean, pure taste, providing nicotine since 2011.","Unflavored, Flavorless",halo-fusion-an-unflavored-tobacco-vape-juice-with-a-clean-pure-taste-providing-nicotine-since-2011.jpg,,
Sub-Ohm,Halo Kringle's Curse - Peppermint,"Peppermint, mint, ice, menthol",halo-kringle-s-curse-peppermint.png,,
Sub-Ohm,"Halo Sub Zero - An intense, cool menthol effect with superior vapor production and a glacier-fresh finish.","Menthol, Ice",halo-sub-zero-an-intense-cool-menthol-effect-with-superior-vapor-production-and-a-glacier-fresh-finish.png,,
Sub-Ohm,"Halo Tribeca - Rich and smooth tobacco flavor, bold top notes and a decadent, velvety finish.","Tobacco, Vanilla, Caramel",halo-tribeca-rich-and-smooth-tobacco-flavor-bold-top-notes-and-a-decadent-velvety-finish.jpg,,
Sub-Ohm,Innevape Heisenberg Menthol,"Blue Raspberry, Fruit, Blue Razz, Candy, Ice, Menthol",innevape-heisenberg-menthol.jpg,,
Sub-Ohm,Juice Head F Blue Lemon FREEZE,"Blueberry, Lemon, Ice, Menthol, Fruit",juice-head-f-blue-lemon-freeze.jpg,,
Sub-Ohm,Juice Head F Guava Peach FREEZE,"Guava, Peach, Ice, Menthol, Fruit",juice-head-f-guava-peach-freeze.jpg,,
Sub-Ohm,Juice Head F Mango Strawberry FREEZE,"Mango, Strawberry, Ice, Menthol, Fruit",juice-head-f-mango-strawberry-freeze.jpg,,
Sub-Ohm,Juice Head F Orange Mango FREEZE,"Orange, Mango, Ice, Menthol, Fruit",juice-head-f-orange-mango-freeze.jpg,,
Sub-Ohm,Juice Head F Peach Pear FREEZE,"Peach, Pear, Ice, Menthol, Fruit",juice-head-f-peach-pear-freeze.jpg,,
Sub-Ohm,Juice Head F Peach Pear FREEZE 06mgPPF6,"Peach, Pear, Ice, Menthol, Fruit",juice-head-f-peach-pear-freeze-06mgppf6.jpg,,
Sub-Ohm,Juice Head F Pineapple GrapeFruit FREEZE,"Pineapple, Grapefruit, Ice, Menthol, Fruit",juice-head-f-pineapple-grapefruit-freeze.jpg,,
Sub-Ohm,Juice Head F Pineapple Guava FREEZE,"Pineapple, Guava, Ice, Menthol, Fruit",juice-head-f-pineapple-guava-freeze.jpg,,
Sub-Ohm,Juice Head F Strawberry Kiwi FREEZE,"Strawberry, Kiwi, Ice, Menthol, Fruit",juice-head-f-strawberry-kiwi-freeze.jpg,,
Sub-Ohm,Juice Head F Watermelon Lime FREEZE,"Watermelon, Lime, Ice, Menthol, Fruit",juice-head-f-watermelon-lime-freeze.jpg,,
Sub-Ohm,Juice Head Freeze Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Ice, Menthol, Fruit",juice-head-freeze-raspberry-lemonade.jpg,,
Sub-Ohm,Juice Head R Blue Lemon,"Blueberry, Lemon, Fruit",juice-head-r-blue-lemon.jpg,,
Sub-Ohm,Juice Head R Guava Peach,"Guava, Peach, Fruit",juice-head-r-guava-peach.jpg,,
Sub-Ohm,Juice Head R Mango Strawberry,"Mango, Strawberry, Fruit",juice-head-r-mango-strawberry.jpg,,
Sub-Ohm,Juice Head R Orange Mango,"Orange, Mango, Fruit",juice-head-r-orange-mango.jpg,,
